City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
498,Kieta,PG,79.11,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
499,Quelimane,MZ,80.55,clear sky,-17.8786,36.8883,Hotel Flamingo
501,Wadi Musa,JO,66.9,overcast clouds,30.3222,35.4793,Petra Palace Hotel
503,Namibe,AO,70.88,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
506,Namalenga,TZ,71.89,overcast clouds,-10.95,39.1,
508,Vangaindrano,MG,72.97,scattered clouds,-23.35,47.6,Hotel Fanilo
509,Bilma,NE,87.26,clear sky,18.6853,12.9164,Expeditions Ténére voyages
511,Santo Antonio Do Ica,BR,82.06,broken clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
513,Kalmunai,LK,78.73,clear sky,7.4167,81.8167,VS Villa
514,Anloga,GH,83.07,light rain,5.7947,0.8973,Pin Drop Hotel
518,Chuy,UY,71.62,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
519,Emerald,AU,71.74,overcast clouds,-23.5333,148.1667,The Irish Village
520,Ellisras,ZA,69.94,light rain,-23.6649,27.7443,Lapa le le guesthouse
521,Mecca,SA,83.8,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
522,Dubti,ET,89.22,clear sky,11.7361,41.0853,degu Shiferaw
525,Dicabisagan,PH,75.43,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
527,Kruisfontein,ZA,61.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
532,Sohag,EG,84.49,overcast clouds,26.557,31.6948,Civil Registry - Sohag 1
537,Tucupita,VE,83.7,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
541,Faya,SA,66.31,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
542,Pawai,IN,83.93,clear sky,24.2667,80.1667,parth Palace Pawai
546,Hilton Head Island,US,78.01,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
547,Longonjo,AO,64.58,overcast clouds,-12.9067,15.2533,
549,Chaman,PK,65.68,clear sky,30.9236,66.4512,Niamat parda Center chaman
551,Morondava,MG,81.57,scattered clouds,-20.2833,44.2833,La Case Bambou
552,Healdsburg,US,83.1,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
553,Benghazi,LY,66.2,clear sky,32.1167,20.0667,Tibesti Hotel
554,Weligama,LK,77.56,scattered clouds,5.9667,80.4167,Weligama Bay Resort
555,Lichinga,MZ,66.29,clear sky,-13.3128,35.2406,Residencial Bendiak
557,Bardstown,US,61.95,clear sky,37.8092,-85.4669,Hampton Inn Bardstown
559,Uniara,IN,83.64,clear sky,26.15,75.2167,Super rajasthani masti comedy
560,Spanish Town,JM,87.71,few clouds,17.9911,-76.9574,Shan's Cloud
561,Ahvaz,IR,73.35,clear sky,31.3203,48.6693,tashrifat tourism travel agency
563,French Harbor,HN,85.06,few clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
566,Sabang,ID,80.2,overcast clouds,5.8933,95.3214,Hotel Citra
567,Beira,MZ,80.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
568,Galle,LK,79.18,broken clouds,6.0367,80.217,Amangalla
570,Andros Town,BS,85.96,overcast clouds,24.7,-77.7667,Hanks place
571,Howard Springs,AU,80.51,scattered clouds,-12.497,131.047,buffalo beach hostel
572,Ulladulla,AU,61.7,overcast clouds,-35.35,150.4667,Sandpiper Motel
573,Gamba,GA,77.54,overcast clouds,-2.65,10.0,
576,Hirara,JP,68.92,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
577,Akdepe,TM,64.49,clear sky,42.0551,59.3788,
580,Poya,NC,79.38,overcast clouds,-21.35,165.15,
581,Ayame,CI,79.21,overcast clouds,5.6083,-3.1563,Hotel Bossan
585,Ewa Beach,US,80.55,clear sky,21.3156,-158.0072,Base Lodging
586,Manokwari,ID,78.17,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
587,Lazaro Cardenas,MX,80.58,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
590,Labuhan,ID,75.49,overcast clouds,-6.8844,112.2051,DoubleFAG
591,Sechura,PE,83.52,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
594,Tirumala,IN,67.3,few clouds,13.6833,79.35,Anjanadri Nagar Cottages
595,Bhanpuri,IN,84.81,clear sky,21.1,80.9167,Tandan house
596,Teguise,ES,62.82,broken clouds,29.0605,-13.564,B&B La Casona de Nazaret
597,Camargo,MX,85.51,few clouds,27.6667,-105.1667,Hotel Santa Fe
602,Beloha,MG,71.8,clear sky,-25.1667,45.05,
607,Koumac,NC,79.92,overcast clouds,-20.5667,164.2833,Le Monitel
611,Springfield,US,69.15,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
612,Yajalon,MX,88.2,overcast clouds,17.2333,-92.3333,
616,Riyadh,SA,80.74,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
619,Pocao De Pedras,BR,81.27,overcast clouds,-4.6667,-44.85,Hotel Magazine
620,Praya,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
621,Ngunguru,NZ,64.29,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
623,Trinidad,BO,87.78,few clouds,-14.8333,-64.9,Hotel Piesta
625,Khonsa,IN,61.32,overcast clouds,27.0167,95.5667,
