City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Henties Bay,NA,2022-03-30 00:54:11,-22.116,14.2845,290.13,86,1,2.41
1,Dunedin,NZ,2022-03-30 00:54:11,-45.8742,170.5036,292.48,71,0,4.92
2,Capinota,BO,2022-03-30 00:54:12,-17.7167,-66.2333,292.82,36,4,1.41
3,Trofors,NO,2022-03-30 00:54:12,65.5333,13.4063,263.8,97,87,1.54
4,Longyearbyen,SJ,2022-03-30 00:54:13,78.2186,15.6401,261.06,72,0,3.6
5,Carnarvon,AU,2022-03-30 00:54:13,-24.8667,113.6333,298.19,88,100,3.09
6,Castro,BR,2022-03-30 00:54:14,-24.7911,-50.0119,290.7,90,19,1.35
7,Pacific Grove,US,2022-03-30 00:54:14,36.6177,-121.9166,291.62,86,100,4.63
8,Ribeira Grande,PT,2022-03-30 00:54:14,38.5167,-28.7,289.82,93,100,2.46
9,Grakhovo,RU,2022-03-30 00:54:15,56.0502,51.9676,265.96,94,100,2.63
10,Mataura,NZ,2022-03-30 00:54:15,-46.1927,168.8643,295.64,50,4,0.07
11,Richards Bay,ZA,2022-03-30 00:54:15,-28.783,32.0377,295.41,78,0,7.69
12,Nome,US,2022-03-30 00:54:16,64.5011,-165.4064,268.24,77,100,2.48
13,Malahide,IE,2022-03-30 00:54:16,53.4508,-6.1544,281.67,92,75,2.57
14,Busselton,AU,2022-03-30 00:54:16,-33.65,115.3333,294.25,69,82,8.37
15,Churapcha,RU,2022-03-30 00:54:17,62.0025,132.4325,262.54,82,26,3.86
16,Pevek,RU,2022-03-30 00:54:17,69.7008,170.3133,251.69,88,100,0.63
17,Bilibino,RU,2022-03-30 00:54:18,68.0546,166.4372,261.65,58,100,1.45
18,Tambacounda,SN,2022-03-30 00:54:18,13.7539,-13.7586,304.76,24,4,5.95
19,Coquimbo,CL,2022-03-30 00:54:18,-29.9533,-71.3436,291.39,70,0,1.73
20,Lompoc,US,2022-03-30 00:54:19,34.6391,-120.4579,290.69,84,100,10.29
21,Rikitea,PF,2022-03-30 00:54:19,-23.1203,-134.9692,299.15,67,67,3.76
22,Margate,GB,2022-03-30 00:54:20,51.3813,1.3862,281.87,88,100,1.34
23,Shimoda,JP,2022-03-30 00:54:20,34.6667,138.95,289.87,92,91,2.13
24,Mount Gambier,AU,2022-03-30 00:54:20,-37.8333,140.7667,291.1,68,100,4.12
25,Kutum,SD,2022-03-30 00:54:21,14.2,24.6667,289.75,10,98,3.21
26,Ushuaia,AR,2022-03-30 00:54:21,-54.8,-68.3,278.96,87,40,13.89
